title,artist,genre,mood,energy,tempo
Midnight Drive,Luna Echo,pop,calm,0.45,95
Skyline Run,Neon Tides,electronic,focused,0.82,128
Coffee Rain,Oak Street,jazz,calm,0.38,88
Firelight,North Harbor,rock,hyped,0.91,140
Soft Orbit,Polar Bloom,indie,dreamy,0.52,102
Second Sun,Velvet Volt,electronic,hyped,0.86,132
Paper Planes,Willow Lane,pop,joyful,0.67,118
Quiet Lantern,Aria Vale,classical,calm,0.22,72
City Pulse,Motion Frames,hiphop,focused,0.74,110
Golden Thread,Ember Muse,folk,dreamy,0.41,90
Night Shift,Kilo North,hiphop,hyped,0.88,124
Ocean Window,Saffron Sky,indie,joyful,0.58,108
